upm,nvivi,nhoga,year,fex,facpob,area,dptorep,ipcm,linea_pobreza_total,linea_pobreza_extrema,vivi_piezas,vivi_dormitorios,vivi_pared,vivi_piso,vivi_techo,vivi_agua_proveedor,vivi_agua_fuente,vivi_agua_proveedor_beber,vivi_agua_fuente_beber,vivi_celular,vivi_banho_desague,vivi_pieza_cocinar,vivi_combustible,vivi_basura,vivi_vivienda_propiedad,vivi_lote_propiedad,vivi_computadora,vivi_tableta,vivi_internet,vivi_radio,vivi_televisor,vivi_heladera,vivi_cocina_gas,vivi_cocina_elec,vivi_lavarropas,vivi_videoDVD,vivi_termocalefon,vivi_acondicionador_aire,vivi_antena_parabolica,vivi_tv_cable,vivi_horno_microondas,vivi_horno_electrico,vivi_auto_camion,vivi_motocicleta,hh_conyuge_present,hh_tipo_hogar,hh_miembros_5ymenos,hh_miembros_6a14,hh_miembros_15a64,hh_miembros_65ymas,hh_dependents,hh_youth_dependents,hh_old_dependents,hh_females,hh_males,hh_tekopora,hh_totpers,jefe_female,jefe_edad,jefe_idioma,jefe_aniosestudio,jefe_estado_civil,jefe_seguro_medico,jefe_sabe_leer_escribir,jefe_tipo_empleo,jefe_quiere_trabajo,jefe_caja_jubilacion1,lnipcm,totpov,extpov
2420,32,1,2018,443,1329,rural,Resto,763589.3252818041,488172,239969,2,2,Ladrillo,Tierra,Zinc,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Letrina_comun_sin_techo,Yes,Leña,Quema,Propia,Cedido,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Extendido,0,1,2,0,1,1,0,2,1,No,3,Yes,61,Guarani,5,Casado,No,Yes,Cuenta_propia,No,No,13.54578539127269,nontot_pov,nonext_pov
2420,926,2,2018,407,814,rural,Resto,1610561.6159400982,488172,239969,1,1,Madera,Tierra,Zinc,Red_comunitaria,Caneria_terreno,Red_comunitaria,Caneria_terreno,Yes,Letrina_comun_sin_techo,No,Leña,Quema,Propia,Condo,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Nuclear_Completo,0,0,2,0,0,0,0,1,1,No,2,No,32,Guarani,7,Unido,No,Yes,Cuenta_propia,No,No,14.292093505910143,nontot_pov,nonext_pov
2509,10,1,2018,689,5512,rural,Resto,738846.1660143536,488172,239969,5,4,Ladrillo,Lecherada,Zinc,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Letrina_comun_sin_techo,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Extendido,3,1,4,0,4,4,0,5,3,Yes,8,No,52,Guarani,3,Casado,No,Yes,Cuenta_propia,No,No,13.51284501319245,nontot_pov,nonext_pov
2509,11,1,2018,516,1548,rural,Resto,1480613.9378125733,488172,239969,3,2,Ladrillo,Lecherada,Zinc,SENASA,Caneria_terreno,SENASA,Caneria_terreno,Yes,Letrina_comun,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Extendido,0,0,2,1,1,0,1,1,2,No,3,No,65,Guarani,4,Casado,No,Yes,Cuenta_propia,No,No,14.20796738257142,nontot_pov,nonext_pov
2509,12,1,2018,425,425,rural,Resto,1319962.3939987002,488172,239969,4,2,Madera,Lecherada,Zinc,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,No,Letrina_comun_sin_techo,Yes,Leña,Hoyo,Propia,Propio,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Unipersonal,0,0,0,1,1,0,1,0,1,No,1,No,66,Guarani,2,Viudo,No,Yes,Cuenta_propia,No,No,14.0931138047618,nontot_pov,nonext_pov
2509,13,1,2018,666,5328,rural,Resto,200806.39677103792,488172,239969,3,3,Ladrillo,Tierra,Zinc,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Letrina_comun_sin_techo,No,Leña,Quema,Propia,Propio,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Extendido,2,3,2,1,6,5,1,5,3,Yes,8,Yes,78,Guarani,0,Viudo,No,No,Cuenta_propia,No,No,12.210096522721777,tot_pov,ext_pov
2509,14,1,2018,425,425,rural,Resto,1759184.2791911352,488172,239969,3,3,Madera,Tierra,Zinc,SENASA,Caneria_terreno,SENASA,Caneria_terreno,No,Letrina_comun,Yes,Ninguno,Quema,Propia,Propio,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Unipersonal,0,0,0,1,1,0,1,0,1,No,1,No,71,Guarani,1,Viudo,No,No,Cuenta_propia,No,No,14.380360781843022,nontot_pov,nonext_pov
2509,15,1,2018,778,3890,rural,Resto,464824.651011091,488172,239969,2,2,Madera,Lecherada,Zinc,SENASA,Caneria_terreno,SENASA,Caneria_terreno,Yes,Letrina_comun_sin_techo,No,Leña,Quema,Propia,Cedido,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Nuclear_Completo,1,2,2,0,3,3,0,2,3,Yes,5,No,37,Guarani,6,Casado,No,Yes,Cuenta_propia,No,No,13.04941551885164,tot_pov,nonext_pov
2509,18,1,2018,289,289,rural,Resto,1573098.1735159876,488172,239969,1,1,Madera,Tierra,Zinc,Manantial,Otros,Manantial_sin_proteccion,Otros,No,Letrina_comun_sin_techo,Yes,Leña,Quema,Propia,Cedido,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unipersonal,0,0,0,1,1,0,1,1,0,No,1,Yes,87,Guarani,0,Soltero,No,No,Cuenta_propia,No,No,14.268557591736874,nontot_pov,nonext_pov
2509,20,1,2018,584,4088,rural,Resto,369624.58112012065,488172,239969,2,2,Madera,Lecherada,Fibrocemento,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Pozo_ciego,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Compuesto,1,1,3,2,4,2,2,3,4,Yes,7,No,80,Guarani,2,Casado,Yes,Yes,No_trabajo,No,No,12.820243123897784,tot_pov,nonext_pov
